0	2.5e-06
0.1	2.5e-06
0.2	2.5e-06
0.3	2.5e-06
0.4	2.5e-06
0.5	2.5e-06
0.6	2.5e-06
0.7	2.5e-06
0.8	2.5e-06
0.9	2.5e-06
1	2.5e-06
1.1	2.5e-06
1.2	2.5e-06
1.3	2.5e-06
1.4	2.5e-06
1.5	2.5e-06
1.6	2.5e-06
1.7	2.48405e-06
1.8	2.465e-06
1.9	2.44611e-06
2	2.42737e-06
2.1	2.40879e-06
2.2	2.39038e-06
2.3	2.37214e-06
2.4	2.35407e-06
2.5	2.33618e-06
2.6	2.31847e-06
2.7	2.30095e-06
2.8	2.28362e-06
2.9	2.26648e-06
3	2.24954e-06
3.1	2.23281e-06
3.2	2.21628e-06
3.3	2.19997e-06
3.4	2.18387e-06
3.5	2.168e-06
3.6	2.15235e-06
3.7	2.13693e-06
3.8	2.12176e-06
3.9	2.10682e-06
4	2.09213e-06
4.1	2.0777e-06
4.2	2.06352e-06
4.3	2.04642e-06
4.4	2.02182e-06
4.5	1.99816e-06
4.6	1.97547e-06
4.7	1.95378e-06
4.8	1.93313e-06
4.9	1.91354e-06
5	1.89506e-06
5.1	1.87772e-06
5.2	1.86154e-06
5.3	1.84656e-06
5.4	1.83281e-06
5.5	1.82031e-06
5.6	1.80909e-06
5.7	1.79918e-06
5.8	1.7906e-06
5.9	1.78336e-06
6	1.77748e-06
6.1	1.77298e-06
6.2	1.76978e-06
6.3	1.76805e-06
6.4	1.7679e-06
6.5	1.76932e-06
6.6	1.77232e-06
6.7	1.77689e-06
6.8	1.78301e-06
6.9	1.79068e-06
7	1.79986e-06
7.1	1.81053e-06
7.2	1.82268e-06
7.3	1.83627e-06
7.4	1.85126e-06
7.5	1.86763e-06
7.6	1.88535e-06
7.7	1.90436e-06
7.8	1.92463e-06
7.9	1.94613e-06
8	1.96204e-06
8.1	1.97682e-06
8.2	1.99205e-06
8.3	2.00773e-06
8.4	2.02384e-06
8.5	2.04037e-06
8.6	2.05732e-06
8.7	2.07467e-06
8.8	2.09241e-06
8.9	2.11054e-06
9	2.12904e-06
9.1	2.14791e-06
9.2	2.16713e-06
9.3	2.18669e-06
9.4	2.20659e-06
9.5	2.22682e-06
9.6	2.24737e-06
9.7	2.26822e-06
9.8	2.28938e-06
9.9	2.31083e-06
10	2.33256e-06
10.1	2.35458e-06
10.2	2.37686e-06
10.3	2.3994e-06
10.4	2.41302e-06
10.5	2.41754e-06
10.6	2.42207e-06
10.7	2.42661e-06
10.8	2.43116e-06
10.9	2.43571e-06
11	2.44028e-06
11.1	2.44486e-06
11.2	2.44944e-06
11.3	2.45404e-06
11.4	2.45864e-06
11.5	2.46326e-06
11.6	2.46788e-06
11.7	2.47251e-06
11.8	2.47715e-06
11.9	2.4818e-06
12	2.48646e-06
12.1	2.49113e-06
12.2	2.49581e-06
12.3	2.50049e-06
12.4	2.50519e-06
12.5	2.50989e-06
12.6	2.5146e-06
12.7	2.51932e-06
12.8	2.52405e-06
12.9	2.52879e-06
13	2.53354e-06
13.1	2.53829e-06
13.2	2.54305e-06
13.3	2.54783e-06
13.4	2.55261e-06
13.5	2.55739e-06
13.6	2.55083e-06
13.7	2.53594e-06
13.8	2.52112e-06
13.9	2.50639e-06
14	2.49174e-06
14.1	2.47718e-06
14.2	2.46271e-06
14.3	2.44832e-06
14.4	2.43403e-06
14.5	2.41984e-06
14.6	2.40573e-06
14.7	2.39173e-06
14.8	2.37782e-06
14.9	2.36401e-06
15	2.3503e-06
15.1	2.3367e-06
15.2	2.3232e-06
15.3	2.30981e-06
15.4	2.29652e-06
15.5	2.28335e-06
15.6	2.27029e-06
15.7	2.25735e-06
15.8	2.24452e-06
15.9	2.23181e-06
16	2.21922e-06
16.1	2.20676e-06
16.2	2.19442e-06
16.3	2.1822e-06
16.4	2.17012e-06
16.5	2.14601e-06
16.6	2.12059e-06
16.7	2.09585e-06
16.8	2.0718e-06
16.9	2.04848e-06
17	2.02591e-06
17.1	2.00412e-06
17.2	1.98312e-06
17.3	1.96296e-06
17.4	1.94364e-06
17.5	1.92521e-06
17.6	1.90767e-06
17.7	1.89107e-06
17.8	1.87542e-06
17.9	1.86074e-06
18	1.84707e-06
18.1	1.83442e-06
18.2	1.82281e-06
18.3	1.81227e-06
18.4	1.80281e-06
18.5	1.79331e-06
18.6	1.78495e-06
18.7	1.77823e-06
18.8	1.77315e-06
18.9	1.76974e-06
19	1.76801e-06
19.1	1.76795e-06
19.2	1.76958e-06
19.3	1.77288e-06
19.4	1.77784e-06
19.5	1.78446e-06
19.6	1.79272e-06
19.7	1.80258e-06
19.8	1.81403e-06
19.9	1.82704e-06
20	1.84157e-06
20.1	1.85759e-06
20.2	1.87265e-06
20.3	1.88603e-06
20.4	1.90015e-06
20.5	1.91497e-06
20.6	1.93048e-06
20.7	1.94667e-06
20.8	1.96352e-06
20.9	1.98101e-06
21	1.99913e-06
21.1	2.01786e-06
21.2	2.03718e-06
21.3	2.05707e-06
21.4	2.07752e-06
21.5	2.09852e-06
21.6	2.12004e-06
21.7	2.14208e-06
21.8	2.1646e-06
21.9	2.18761e-06
22	2.21108e-06
22.1	2.23501e-06
22.2	2.25936e-06
22.3	2.28414e-06
22.4	2.30429e-06
22.5	2.31282e-06
22.6	2.32139e-06
22.7	2.33001e-06
22.8	2.33867e-06
22.9	2.34737e-06
23	2.35611e-06
23.1	2.3649e-06
23.2	2.37373e-06
23.3	2.3826e-06
23.4	2.39151e-06
23.5	2.40046e-06
23.6	2.40945e-06
23.7	2.41847e-06
